"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"235";1,62733333333333;0,825;0,730666666666667;1,838;1,33333333333333;0,333333333333333;0,333333333333333;1;19;12;"1"
"236";1,06033333333333;1,35666666666667;1,28233333333333;1,59566666666667;0,666666666666667;2;1,33333333333333;1,33333333333333;25;38;"1"
"237";1,70233333333333;0,891666666666667;0,645333333333333;1,93833333333333;0,333333333333333;0,666666666666667;0,333333333333333;1;18;30;"1"
"238";0,914;1,60866666666667;1,18766666666667;1,63133333333333;1;1,66666666666667;1;0,666666666666667;22;32;"2"
"239";2,98633333333333;0,938;1,70433333333333;0,785333333333333;2,33333333333333;1,33333333333333;2,33333333333333;0,333333333333333;38;18;"1"
"240";1,97633333333333;1,137;1,49733333333333;1,42566666666667;3;0,666666666666667;0,666666666666667;3;52;34;"X"
"241";1,929;0,858;1,07166666666667;1,6535;2,33333333333333;0,5;2,33333333333333;1;42;21;"1"
"242";0,936;1,70433333333333;0,96325;2,199;0;2,33333333333333;1,5;2,33333333333333;16;41;"2"
"243";1,5385;2,267;0,944;1,81466666666667;3;3;0,75;1,33333333333333;35;38;"1"
"244";1,7025;1,19833333333333;2,0105;1,38733333333333;1;2;2;1,33333333333333;35;46;"X"
"245";1,20433333333333;1,8665;1,33033333333333;2,13175;0;1;1,33333333333333;2,5;29;53;"2"
"246";1,838;1,616;1,325;1,19325;1;2;0,333333333333333;1,25;12;28;"X"
"247";1,0865;1,6935;1,29425;2,3975;0,5;3;1;2,5;18;66;"2"
"248";1,93833333333333;1,18766666666667;0,902333333333333;1,14766666666667;1;1;0,666666666666667;0,666666666666667;30;22;"X"
"249";2,027;0,722;1,25675;1,376;1,5;0;0,25;1,33333333333333;33;24;"1"
"250";2,218;1,32666666666667;1,714;2,72366666666667;2,33333333333333;3;1,66666666666667;2,33333333333333;56;69;"2"
"251";1,81466666666667;2,054;1,50333333333333;1,64066666666667;1,33333333333333;2,33333333333333;2;1;38;36;"1"
"252";1,54225;1,47833333333333;0,997;1,146;1,75;1,33333333333333;0;0,333333333333333;22;18;"1"
"253";1,40333333333333;1,074;1,21433333333333;1,17733333333333;1,33333333333333;2;1,66666666666667;0;29;16;"X"
"254";1,14766666666667;1,26466666666667;1,33333333333333;2,42033333333333;0,666666666666667;0,333333333333333;1,33333333333333;2;23;36;"2"
"255";1,52833333333333;1,325;0,692;1,648;3;0,333333333333333;0,666666666666667;0,333333333333333;38;13;"1"
"256";1,59566666666667;1,89866666666667;1,06633333333333;2,199;1,33333333333333;2,33333333333333;1;2,33333333333333;38;44;"1"
"257";1,66366666666667;0,902333333333333;1,07166666666667;1,687;2,33333333333333;0,666666666666667;2,33333333333333;1,33333333333333;45;31;"1"
"258";2,061;1,33033333333333;0,766;1,19266666666667;1,33333333333333;1,33333333333333;0,333333333333333;0;21;29;"X"
"259";1,376;1,41566666666667;0,810333333333333;1,38733333333333;1,33333333333333;1,33333333333333;0;1,33333333333333;24;47;"1"
"260";2,122;0,997;1,1415;1,727;2;0;3;1,75;72;25;"1"
"261";1,648;0,8305;1,53666666666667;1,5775;0,333333333333333;2;0,333333333333333;2,5;13;48;"2"
"262";1,19266666666667;1,21433333333333;1,15266666666667;1,10433333333333;0;1,66666666666667;0,666666666666667;1,66666666666667;30;30;"1"
"263";1,687;1,714;0,719666666666667;2,21433333333333;1,33333333333333;1,66666666666667;0,333333333333333;1,33333333333333;31;56;"X"
"264";2,42033333333333;0,983;0,973666666666667;1,82525;2;1,5;1;1,75;39;41;"2"
"265";1,461;1,33333333333333;1,584;0,875;1,5;1,33333333333333;1;0,333333333333333;47;23;"1"
"266";1,481;0,335;0,8455;1,365;0;1;1,75;3;17;41;"2"
"267";1,146;0,810333333333333;1,03133333333333;1,76566666666667;0,333333333333333;0;1;2;18;27;"1"
"268";1,768;0,5285;1,681;2,177;2;0;1,75;1,25;44;22;"1"
"269";1,079;1,06633333333333;1,6435;1,52133333333333;1;1;1,75;2;36;41;"X"
"270";1,614;1,03133333333333;0,516;1,985;3;1;1,66666666666667;1,33333333333333;44;21;"2"
"271";0,875;1,62;0,731;1,55933333333333;0,333333333333333;2;0,333333333333333;2,33333333333333;23;47;"1"
"272";0,593666666666667;0,973666666666667;0,719666666666667;1,90233333333333;0,666666666666667;1;0,333333333333333;1;32;39;"2"
"273";1,76566666666667;1,40633333333333;0,847;0,975666666666667;2;1,33333333333333;0;1;27;37;"1"
"274";2,21433333333333;0,697666666666667;1,72066666666667;1,81366666666667;1,33333333333333;0;1,66666666666667;2,33333333333333;57;25;"1"
"275";1,64733333333333;1,53666666666667;1,28566666666667;0,615666666666667;2;0,333333333333333;2;0,333333333333333;44;13;"X"
"276";2,26633333333333;0,600666666666667;0,416;1,35633333333333;1,66666666666667;1,33333333333333;0;0;22;17;"1"
"277";1,52133333333333;1,15266666666667;0,934333333333333;0,804666666666667;2;0,666666666666667;1,33333333333333;1;42;33;"1"
"278";1,10433333333333;1,096;0,788666666666667;2,326;1,66666666666667;3;0,666666666666667;2,33333333333333;30;75;"1"
"279";1,68733333333333;1,855;1,122;1,22133333333333;3;1,33333333333333;2,33333333333333;2;51;50;"2"
"280";0,615666666666667;0,847;1,21766666666667;2,166;0,333333333333333;0;0,333333333333333;3;14;30;"2"
"281";1,90233333333333;1,2925;1,53166666666667;1,53125;1;3;2;2,25;42;51;"1"
"282";2,4085;0,416;0,8995;2,123;3;0;2,25;2,33333333333333;75;25;"1"
"283";1,81366666666667;0,788666666666667;0,856;1,16666666666667;2,33333333333333;0,666666666666667;0;2,33333333333333;25;33;"1"
"284";1,3335;0,934333333333333;2,11925;1,45066666666667;3;1,33333333333333;1,75;3;53;45;"2"
"285";1,985;0,728;1,479;0,89775;1,33333333333333;0;1;0,5;24;32;"1"
"286";1,4485;1,72066666666667;1,60925;2,057;3;1,66666666666667;1,5;1,33333333333333;47;60;"2"
"287";1,3835;0,731;0,7835;1,05966666666667;0;0,333333333333333;1;1;17;26;"2"
"288";0,975666666666667;0,6215;1,44733333333333;1,57275;1;2;1;2,25;37;44;"X"
"289";0,804666666666667;1,5115;1,29466666666667;1,6115;1;1,5;0,333333333333333;1,75;33;45;"2"
"290";2,166;0,496333333333333;0,725666666666667;2,05366666666667;3;2;1;3;33;78;"2"
"291";1,24733333333333;0,856;1,208;2,01966666666667;2;0;2;3;51;28;"X"
"292";1,62766666666667;1,44733333333333;1,63533333333333;1,58133333333333;2;1;1;1;47;38;"X"
"293";1,16666666666667;2,19266666666667;0,793666666666667;1,40166666666667;2,33333333333333;1,33333333333333;0,333333333333333;2;33;53;"2"
"294";1,05966666666667;1,077;0,467666666666667;1,45066666666667;1;1,33333333333333;1,33333333333333;3;29;48;"1"
"295";1,262;1,29466666666667;0,708;0,979;0;0,333333333333333;0,333333333333333;1;17;33;"1"
"296";1,27733333333333;1,53166666666667;0,565666666666667;2,41866666666667;2;2;1,66666666666667;2;45;45;"1"
"297";2,123;1,58966666666667;0,38;2,057;2,33333333333333;2,33333333333333;0;1,33333333333333;25;63;"1"
"298";1,45766666666667;1,479;2,304;2,21066666666667;1,33333333333333;1;2;2;48;27;"1"
"299";1,05133333333333;1,21766666666667;0,722666666666667;0,528333333333333;0,666666666666667;0,333333333333333;0;0,333333333333333;32;14;"1"
"300";2,41866666666667;1,63533333333333;1,269;1,54933333333333;2;1;2;1,33333333333333;45;48;"2"
"301";2,039;1,372;1,18275;1,445;3;1,5;2,25;1,75;81;52;"1"
"302";0,979;0,666;1,833;1,1745;1;2;0,333333333333333;2,25;33;48;"X"
"303";1,7865;0,793666666666667;1,3525;0,786666666666667;1,5;0,333333333333333;1,75;1,33333333333333;63;33;"X"
"304";1,14;2,304;2,235;1,64566666666667;1,5;2;1,75;2,33333333333333;56;51;"X"
"305";1,1535;0,7725;0,93525;1,32875;3;0;1;1,25;48;35;"X"
"306";2,01966666666667;0,38;0,738;2,11266666666667;3;0;0,333333333333333;2,33333333333333;29;28;"1"
"307";1,57866666666667;0,467666666666667;0,725666666666667;0,986333333333333;2;1,33333333333333;1;2;33;32;"1"
"308";1,58133333333333;0,746;0,671;1,4355;1;0,5;0,333333333333333;0,75;39;20;"2"
"309";2,21066666666667;1,111;1,06766666666667;0,528333333333333;2;0,333333333333333;1;0,333333333333333;27;14;"1"
"310";1,47333333333333;1,046;1,40566666666667;1,27833333333333;1,33333333333333;1,33333333333333;1;2,33333333333333;52;49;"1"
"311";1,54933333333333;0,738;1,421;2,02533333333333;1,33333333333333;0,333333333333333;1;3;51;32;"1"
