"";"xGhomehome";"xGawayaway";"xGhome_team_away";"xGaway_team_home";"punti_homehome";"punti_awayaway";"punti_home_team_away";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"163";1,45633333333333;1,63866666666667;1,18833333333333;0,841;1,66666666666667;0,333333333333333;1;0,666666666666667;21;12;"X"
"164";2,11633333333333;0,740333333333333;1,46866666666667;1,85933333333333;3;0,666666666666667;0,333333333333333;2;16;23;"2"
"165";1,28733333333333;2,04566666666667;1,34566666666667;2,01666666666667;0,666666666666667;2;0;2;16;24;"1"
"166";1,16466666666667;1,99833333333333;0,619666666666667;1,32433333333333;1,33333333333333;1;1,66666666666667;1,33333333333333;27;22;"2"
"167";2,06566666666667;1,30066666666667;1,51633333333333;1,075;2,33333333333333;0,333333333333333;3;1;38;16;"1"
"168";1,15566666666667;1,30733333333333;1,28033333333333;1,77866666666667;1;1,66666666666667;2;1;24;22;"X"
"169";0,903;0,295666666666667;1,40566666666667;0,930333333333333;1;0,333333333333333;0,333333333333333;0,666666666666667;13;8;"X"
"170";2,57933333333333;1,187;1,067;0,769333333333333;1,66666666666667;0,666666666666667;0,666666666666667;0,666666666666667;25;17;"1"
"171";2,5535;1,51633333333333;1,67875;2,11666666666667;3;3;0,5;2,33333333333333;33;41;"1"
"172";2,21;1,348;1,09366666666667;1,49475;2,33333333333333;1,5;0,333333333333333;1;24;25;"1"
"173";1,075;1,40566666666667;1,17666666666667;0,879;1;0,333333333333333;0,333333333333333;1,33333333333333;16;14;"X"
"174";1,77866666666667;1,8205;0,706333333333333;1,89975;1;0,5;1;2,25;23;16;"1"
"175";2,01666666666667;1,541;2,31466666666667;1,86133333333333;2;3;1;3;24;49;"X"
"176";0,3495;1,067;1,29525;2,59633333333333;1;0,666666666666667;0,5;1,66666666666667;13;28;"2"
"177";0,769333333333333;1,89;1,54933333333333;1,31475;0,666666666666667;0;0,666666666666667;1,25;17;19;"1"
"178";1,374;1,18833333333333;1,5695;1,52066666666667;1,5;1;1,5;1,66666666666667;25;22;"2"
"179";1,6935;0,921;1,03025;1,318;3;1;1,25;1;26;8;"1"
"180";0,930333333333333;0,536;0,561666666666667;1,05325;0,666666666666667;1;0,333333333333333;1;9;27;"X"
"371";0,888;1,893;0,843333333333333;1,75066666666667;2,33333333333333;2;0,333333333333333;1;23;32;"1"
"372";0,7135;1,716;0,66775;2,861;2;1,33333333333333;1,75;2;31;70;"1"
"373";1,663;1,0415;1,25766666666667;1,25375;2;0;0,333333333333333;0,75;59;14;"X"
"374";1,65066666666667;2,0305;0,609;1,508;0,666666666666667;3;1,33333333333333;2;50;49;"1"
"375";1,02266666666667;0,769;1,50333333333333;1,47666666666667;0,333333333333333;0;1;1,66666666666667;59;45;"1"
"376";1,58066666666667;1,072;2,723;1,59425;1,33333333333333;0;3;1,75;84;36;"1"
"377";1,391;2,19966666666667;0,9985;2,847;0,5;2,33333333333333;0,5;3;48;83;"2"
"378";2,26166666666667;1,59266666666667;0,726666666666667;2,07133333333333;3;1;0;1;44;63;"1"
"379";1,818;0,668;0,802666666666667;1,23166666666667;1,66666666666667;1,33333333333333;1,66666666666667;0,333333333333333;69;43;"1"
"380";1,541;1,637;0,54775;2,04033333333333;3;1,33333333333333;0,25;2,33333333333333;41;88;"2"
"381";1,085;0,693;1,33633333333333;0,888;0;0,333333333333333;0,333333333333333;2,33333333333333;11;23;"1"
"382";2,85766666666667;1,609;1,716;1,02266666666667;2;0;1,33333333333333;0,333333333333333;70;56;"2"
"383";1,809;0,563;1,893;1,86375;1,33333333333333;1;2;1,5;32;66;"2"
"384";2,20633333333333;0,64;1,59266666666667;1,25833333333333;1;0,333333333333333;1;2;60;41;"1"
