"";"id";"date";"round";"home_team_name";"home_goals";"away_team_name";"away_goals";"league";"country";"start_season";"end_season";"home_team_id";"away_team_id";"season_id";"league_id";"xGcasa";"xGtrasferta";"xGhomehome";"punti_homehome";"xGawayaway";"punti_awayaway";"xGhome_team_away";"punti_home_team_away";"xGaway_team_home";"punti_away_team_home";"classificahome";"classificatrasf";"risultato"
"29";16693;"2018-09-15 15:00:00";4;"Napoli";1;"Fiorentina";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;4;2;1;1,316;0,346;0;0;0;0;0;0;0;0;0;0;"1"
"30";16694;"2018-09-15 12:00:00";4;"Internazionale";0;"Parma";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;21;2;1;1,385;0,297;0;0;0;0;0;0;0;0;0;0;"2"
"31";16699;"2018-09-16 18:30:00";4;"Cagliari";1;"Milan";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";3;18;2;1;0,433;2,487;0;0;0;0;0;0;0;0;0;0;"X"
"32";16700;"2018-09-16 16:00:00";4;"Empoli";0;"Lazio";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;23;2;1;1,49;2,743;0;0;0;0;0;0;0;0;0;0;"2"
"33";16701;"2018-09-16 13:00:00";4;"Udinese";1;"Torino";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;7;2;1;0,265;0,671;0;0;0;0;0;0;0;0;0;0;"X"
"34";16702;"2018-09-16 12:00:00";3;"Genoa";1;"Bologna";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;27;2;1;0,488;0,667;0;0;0;0;0;0;0;0;0;0;"1"
"35";16703;"2018-09-16 12:00:00";4;"Juventus";2;"Sassuolo";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;9;2;1;2,85;0,74;0;0;0;0;0;0;0;0;0;0;"1"
"36";16704;"2018-09-16 10:30:00";4;"Roma";2;"Chievo";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";19;26;2;1;2,72;1,176;0;0;0;0;0;0;0;0;0;0;"X"
"37";16705;"2018-09-15 17:30:00";4;"Frosinone";0;"Sampdoria";5;"Serie A";"Italy";"2018-08-19";"2019-05-26";10;25;2;1;0,413;2,542;0;0;0;0;0;0;0;0;0;0;"2"
"38";16713;"2018-09-17 18:30:00";4;"SPAL";2;"Atalanta";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";16;2;2;1;1,792;0,789;0;0;0;0;0;0;0;0;0;0;"1"
"39";18220;"2018-09-19 17:00:00";4;"Sampdoria";1;"Fiorentina";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";25;4;2;1;0,456;1,707;0;0;0;0;0;0;0;0;0;0;"X"
"40";18402;"2018-09-21 17:30:00";5;"Sassuolo";3;"Empoli";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";9;5;2;1;2,096;1,037;0;0;0;0;0;0;0;0;0;0;"1"
"41";18416;"2018-09-22 12:00:00";5;"Parma";2;"Cagliari";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";21;3;2;1;2,04;0,719;0;0;0;0;0;0;0;0;0;0;"1"
"42";18438;"2018-09-23 13:00:00";5;"Lazio";4;"Genoa";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";23;11;2;1;2,81;0,67;0;0;0;0;0;0;0;0;0;0;"1"
"43";18439;"2018-09-23 13:00:00";5;"Chievo";0;"Udinese";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;24;2;1;1,575;1,115;0;0;0;0;0;0;0;0;0;0;"2"
"44";18440;"2018-09-23 13:00:00";5;"Bologna";2;"Roma";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";27;19;2;1;0,885;3,204;0;0;0;0;0;0;0;0;0;0;"1"
"45";18441;"2018-09-23 10:30:00";5;"Torino";1;"Napoli";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";7;8;2;1;1,086;2,358;0;0;0;0;0;0;0;0;0;0;"2"
"46";18442;"2018-09-22 17:30:00";5;"Sampdoria";0;"Internazionale";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";25;22;2;1;0,399;0,802;0;0;0;0;0;0;0;0;0;0;"2"
"47";18443;"2018-09-22 15:00:00";5;"Fiorentina";3;"SPAL";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";4;16;2;1;1,716;0,722;0;0;0;0;0;0;0;0;0;0;"1"
"48";18476;"2018-09-23 17:30:00";5;"Frosinone";0;"Juventus";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";10;20;2;1;0,062;2,917;0;0;0;0;0;0;0;0;0;0;"2"
"49";18477;"2018-09-23 15:00:00";4;"Milan";2;"Atalanta";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";18;2;2;1;2,351;2,085;0;0;0;0;0;0;0;0;0;0;"X"
"50";18973;"2018-09-25 18:00:00";6;"Internazionale";2;"Fiorentina";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;4;2;1;1,859;1,788;0;0;0;0;0;0;0;0;0;0;"1"
"51";18992;"2018-09-27 17:00:00";6;"SPAL";0;"Sassuolo";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";16;9;2;1;1,024;2,086;0;0;0;0;0;0;0;0;0;0;"2"
"52";18993;"2018-09-26 18:00:00";5;"Genoa";2;"Chievo";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;26;2;1;1,618;1,602;0;0;0;0;0;0;0;0;0;0;"1"
"53";18994;"2018-09-26 18:00:00";6;"Roma";4;"Frosinone";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";19;10;2;1;2,532;0,488;0;0;0;0;0;0;0;0;0;0;"1"
"54";18995;"2018-09-26 18:00:00";6;"Napoli";3;"Parma";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;21;2;1;2,859;0,085;0;0;0;0;0;0;0;0;0;0;"1"
"55";18996;"2018-09-26 18:00:00";6;"Juventus";2;"Bologna";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;27;2;1;0,851;0,325;0;0;0;0;0;0;0;0;0;0;"1"
"56";18997;"2018-09-26 18:00:00";6;"Cagliari";0;"Sampdoria";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";3;25;2;1;0,952;2,251;0;0;0;0;0;0;0;0;0;0;"X"
"57";18998;"2018-09-26 18:00:00";6;"Atalanta";0;"Torino";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";2;7;2;1;0,672;0,224;0;0;0;0;0;0;0;0;0;0;"X"
"58";18999;"2018-09-26 16:00:00";6;"Udinese";1;"Lazio";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;23;2;1;0,842;1,503;0;0;0;0;0;0;0;0;0;0;"2"
"59";19015;"2018-09-27 18:00:00";6;"Empoli";1;"Milan";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;18;2;1;1,177;1,529;0;0;0;0;0;0;0;0;0;0;"X"
"60";19029;"2018-09-29 18:30:00";7;"Internazionale";2;"Cagliari";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;3;2;1;1,053;0,144;0;0;0;0;0;0;0;0;0;0;"1"
"61";19030;"2018-09-29 16:00:00";7;"Juventus";3;"Napoli";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;8;2;1;3,045;1,424;0;0;0;0;0;0;0;0;0;0;"1"
"62";19031;"2018-09-29 13:00:00";7;"Roma";3;"Lazio";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";19;23;2;1;2,457;0,885;0;0;0;0;0;0;0;0;0;0;"1"
"63";19061;"2018-09-30 16:00:00";7;"Parma";1;"Empoli";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";21;5;2;1;0,645;1,445;0;0;0;0;0;0;0;0;0;0;"1"
"64";19062;"2018-09-30 13:00:00";7;"Fiorentina";2;"Atalanta";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";4;2;2;1;1,02;0,681;0;0;0;0;0;0;0;0;0;0;"1"
"65";19063;"2018-09-30 13:00:00";7;"Frosinone";1;"Genoa";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";10;11;2;1;1,288;1,086;0;0;0;0;0;0;0;0;0;0;"2"
"66";19064;"2018-09-30 13:00:00";7;"Chievo";0;"Torino";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;7;2;1;0,315;1,484;0;0;0;0;0;0;0;0;0;0;"2"
"67";19065;"2018-09-30 10:30:00";7;"Bologna";2;"Udinese";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";27;24;2;1;1,361;0,997;0;0;0;0;0;0;0;0;0;0;"1"
"68";19145;"2018-10-01 18:30:00";7;"Sampdoria";2;"SPAL";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";25;16;2;1;1,667;1,169;0;0;0;0;0;0;0;0;0;0;"1"
"69";19146;"2018-09-30 18:30:00";7;"Sassuolo";1;"Milan";4;"Serie A";"Italy";"2018-08-19";"2019-05-26";9;18;2;1;0,704;1,305;0;0;0;0;0;0;0;0;0;0;"2"
"70";19165;"2018-10-05 18:30:00";8;"Torino";3;"Frosinone";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";7;10;2;1;1,919;1,94;0;0;0;0;0;0;0;0;0;0;"1"
"71";19181;"2018-10-06 18:30:00";8;"Empoli";0;"Roma";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";5;19;2;1;1,998;0,863;0;0;0;0;0;0;0;0;0;0;"2"
"72";19182;"2018-10-06 16:00:00";8;"Udinese";0;"Juventus";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;20;2;1;0,742;2,814;0;0;0;0;0;0;0;0;0;0;"2"
"73";19183;"2018-10-06 13:00:00";8;"Cagliari";2;"Bologna";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";3;27;2;1;1,908;0,381;0;0;0;0;0;0;0;0;0;0;"1"
"74";19228;"2018-10-07 18:30:00";8;"SPAL";1;"Internazionale";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";16;22;2;1;3,079;1,341;0;0;0;0;0;0;0;0;0;0;"2"
"75";19229;"2018-10-07 16:00:00";8;"Napoli";2;"Sassuolo";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";8;9;2;1;1,768;0,926;0;0;0;0;0;0;0;0;0;0;"1"
"76";19230;"2018-10-07 13:00:00";8;"Atalanta";0;"Sampdoria";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";2;25;2;1;2,18;0,438;0;0;0;0;0;0;0;0;0;0;"2"
"77";19231;"2018-10-07 13:00:00";7;"Milan";3;"Chievo";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";18;26;2;1;2,55;0,412;0;0;0;0;0;0;0;0;0;0;"1"
"78";19232;"2018-10-07 13:00:00";8;"Lazio";1;"Fiorentina";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";23;4;2;1;1,386;1,007;0;0;0;0;0;0;0;0;0;0;"1"
"79";19233;"2018-10-07 10:30:00";7;"Genoa";1;"Parma";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";11;21;2;1;1,532;1,16;0;0;0;0;0;0;0;0;0;0;"2"
"80";19304;"2018-10-20 18:30:00";9;"Udinese";0;"Napoli";3;"Serie A";"Italy";"2018-08-19";"2019-05-26";24;8;2;1;1,721;2,005;0;0;0;0;0;0;0;0;0;0;"2"
"81";19305;"2018-10-20 16:00:00";9;"Juventus";1;"Genoa";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";20;11;2;1;1,846;0,853;0;0;0;0;0;0;0;0;0;0;"X"
"82";19306;"2018-10-20 13:00:00";9;"Roma";0;"SPAL";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";19;16;2;1;1,626;1,891;0;0;0;0;0;0;0;0;0;0;"2"
"83";19332;"2018-10-21 18:30:00";9;"Internazionale";1;"Milan";0;"Serie A";"Italy";"2018-08-19";"2019-05-26";22;18;2;1;2,09;0,646;0;0;0;0;0;0;0;0;0;0;"1"
"84";19333;"2018-10-21 16:00:00";9;"Fiorentina";1;"Cagliari";1;"Serie A";"Italy";"2018-08-19";"2019-05-26";4;3;2;1;1,4;0,922;0;0;0;0;0;0;0;0;0;0;"X"
"85";19334;"2018-10-21 12:00:00";9;"Parma";0;"Lazio";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";21;23;2;1;0,251;2,863;0;0;0;0;0;0;0;0;0;0;"2"
"86";19335;"2018-10-21 13:00:00";9;"Bologna";2;"Torino";2;"Serie A";"Italy";"2018-08-19";"2019-05-26";27;7;2;1;1,495;0,697;0;0;0;0;0;0;0;0;0;0;"X"
"87";19336;"2018-10-21 12:00:00";9;"Chievo";1;"Atalanta";5;"Serie A";"Italy";"2018-08-19";"2019-05-26";26;2;2;1;0,856;2,174;0;0;0;0;0;0;0;0;0;0;"2"
